timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624834668128,144,Upadate Album-8,200,OK,jp@gc - Load Thread Group 1-67,text,true,,61180,163,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,106,0,0
1624834663050,3778,Upadate Album,200,,jp@gc - Load Thread Group 1-41,text,true,,369262,1419,100,100,http://localhost:8082/update?x=albums,25,0,6
1624834663050,25,Upadate Album-0,200,,jp@gc - Load Thread Group 1-41,text,true,,3393,131,100,100,http://localhost:8082/update?x=albums,25,0,6
1624834663076,321,Upadate Album-1,200,,jp@gc - Load Thread Group 1-41,text,true,,5361,269,100,100,http://localhost:8082/css/style.css,12,0,0
1624834663398,718,Upadate Album-2,200,OK,jp@gc - Load Thread Group 1-41,text,true,,161448,165,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,549,0,475
1624834664117,419,Upadate Album-3,200,,jp@gc - Load Thread Group 1-41,bin,true,,38483,133,100,100,http://localhost:8082/img/choonzimg.png,418,0,0
1624834664536,16,Upadate Album-4,200,,jp@gc - Load Thread Group 1-41,text,true,,3097,128,100,100,http://localhost:8082/js/update.js,16,0,0
1624834664554,31,Upadate Album-5,200,,jp@gc - Load Thread Group 1-41,text,true,,1245,128,100,100,http://localhost:8082/js/mutual.js,31,0,0
1624834664600,1546,Upadate Album-6,200,OK,jp@gc - Load Thread Group 1-41,text,true,,72862,141,100,100,https://code.jquery.com/jquery-3.5.1.slim.min.js,895,0,691
1624834666153,489,Upadate Album-7,200,OK,jp@gc - Load Thread Group 1-41,text,true,,22193,161,100,100,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,476,0,232
1624834666642,186,Upadate Album-8,200,OK,jp@gc - Load Thread Group 1-41,text,true,,61180,163,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,176,0,0
1624834660893,5941,Upadate Album,200,,jp@gc - Load Thread Group 1-70,text,true,,369238,1419,100,100,http://localhost:8082/update?x=albums,23,0,9
1624834660893,23,Upadate Album-0,200,,jp@gc - Load Thread Group 1-70,text,true,,3393,131,100,100,http://localhost:8082/update?x=albums,23,0,9
1624834660917,638,Upadate Album-1,200,,jp@gc - Load Thread Group 1-70,text,true,,5361,269,100,100,http://localhost:8082/css/style.css,51,0,0
1624834661557,767,Upadate Album-2,200,OK,jp@gc - Load Thread Group 1-70,text,true,,161448,165,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,369,0,238
1624834663386,1430,Upadate Album-3,200,,jp@gc - Load Thread Group 1-70,bin,true,,38483,133,100,100,http://localhost:8082/img/choonzimg.png,1429,0,0
1624834664816,4,Upadate Album-4,200,,jp@gc - Load Thread Group 1-70,text,true,,3097,128,100,100,http://localhost:8082/js/update.js,4,0,0
