timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,SampleCount,ErrorCount,IdleTime,Connect
1624855182193,114,Upadate Album-1,200,,jp@gc - Stress Thread Group 1-75,text,true,,5361,269,36,36,http://localhost:8082/css/style.css,,3,1,0,0,0
1624855182307,222,Upadate Album-2,200,OK,jp@gc - Stress Thread Group 1-75,text,true,,161456,165,36,36,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,,129,1,0,0,96
1624855182530,3,Upadate Album-3,200,,jp@gc - Stress Thread Group 1-75,bin,true,,38483,133,36,36,http://localhost:8082/img/choonzimg.png,,2,1,0,0,0
1624855182533,2,Upadate Album-4,200,,jp@gc - Stress Thread Group 1-75,text,true,,3097,128,36,36,http://localhost:8082/js/update.js,,2,1,0,0,0
1624855182535,2,Upadate Album-5,200,,jp@gc - Stress Thread Group 1-75,text,true,,1245,128,36,36,http://localhost:8082/js/mutual.js,,2,1,0,0,0
1624855182538,272,Upadate Album-6,200,OK,jp@gc - Stress Thread Group 1-75,text,true,,72862,141,36,36,https://code.jquery.com/jquery-3.5.1.slim.min.js,,213,1,0,0,152
1624855182811,313,Upadate Album-7,200,OK,jp@gc - Stress Thread Group 1-75,text,true,,22193,161,36,36,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,,287,1,0,0,198
1624855183124,122,Upadate Album-8,200,OK,jp@gc - Stress Thread Group 1-75,text,true,,61188,163,36,36,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,,95,1,0,0,0
1624855182087,1176,Upadate Album,200,,jp@gc - Stress Thread Group 1-250,text,true,,369262,1419,36,36,http://localhost:8082/update?x=albums,,11,1,0,0,5
1624855182087,11,Upadate Album-0,200,,jp@gc - Stress Thread Group 1-250,text,true,,3393,131,36,36,http://localhost:8082/update?x=albums,,11,1,0,0,5
1624855182098,109,Upadate Album-1,200,,jp@gc - Stress Thread Group 1-250,text,true,,5361,269,36,36,http://localhost:8082/css/style.css,,6,1,0,0,0
1624855182207,200,Upadate Album-2,200,OK,jp@gc - Stress Thread Group 1-250,text,true,,161448,165,36,36,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,,92,1,0,0,61
1624855182407,7,Upadate Album-3,200,,jp@gc - Stress Thread Group 1-250,bin,true,,38483,133,36,36,http://localhost:8082/img/choonzimg.png,,5,1,0,0,0
1624855182414,2,Upadate Album-4,200,,jp@gc - Stress Thread Group 1-250,text,true,,3097,128,36,36,http://localhost:8082/js/update.js,,2,1,0,0,0
1624855182416,2,Upadate Album-5,200,,jp@gc - Stress Thread Group 1-250,text,true,,1245,128,36,36,http://localhost:8082/js/mutual.js,,2,1,0,0,0
1624855182418,392,Upadate Album-6,200,OK,jp@gc - Stress Thread Group 1-250,text,true,,72862,141,36,36,https://code.jquery.com/jquery-3.5.1.slim.min.js,,297,1,0,0,170
1624855182811,330,Upadate Album-7,200,OK,jp@gc - Stress Thread Group 1-250,text,true,,22193,161,36,36,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,,310,1,0,0,213
1624855183141,122,Upadate Album-8,200,OK,jp@gc - Stress Thread Group 1-250,text,true,,61180,163,36,36,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,,105,1,0,0,0
1624855182186,1142,Upadate Album,200,,jp@gc - Stress Thread Group 1-249,text,true,,369191,1419,40,40,http://localhost:8082/update?x=albums,,5,1,0,0,1
1624855182186,5,Upadate Album-0,200,,jp@gc - Stress Thread Group 1-249,text,true,,3393,131,40,40,http://localhost:8082/update?x=albums,,5,1,0,0,1
1624855182191,106,Upadate Album-1,200,,jp@gc - Stress Thread Group 1-249,text,true,,5361,269,40,40,http://localhost:8082/css/style.css,,3,1,0,0,0
1624855182298,312,Upadate Album-2,200,OK,jp@gc - Stress Thread Group 1-249,text,true,,161424,165,40,40,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,,166,1,0,0,118
